epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1774355631,startup,imgA,9.07,62956503,1073741824,758,222,0,4100,12
1774355631,startup,imgB,66.00,56308531,1073741824,510,84,0,0,12
1774355634,startup,imgA,0.37,63187190,1073741824,2500,1010,0,4100,12
1774355634,startup,imgB,0.00,56308531,1073741824,642,126,0,0,12
1774355637,startup,imgA,0.06,63187190,1073741824,2540,1050,0,4100,12
1774355637,startup,imgB,0.00,56308531,1073741824,712,126,0,0,12
1774355640,startup,imgA,0.00,54148465,1073741824,2540,1050,0,4100,12
1774355640,startup,imgB,3.09,47794094,1073741824,712,126,0,0,12
1774355643,startup,imgA,0.00,54148465,1073741824,2610,1050,0,4100,12
1774355643,startup,imgB,0.00,47794094,1073741824,782,126,0,0,12
1774355646,startup,imgA,0.00,54169436,1073741824,2670,1160,0,4100,12
1774355646,startup,imgB,0.03,47794094,1073741824,782,126,0,0,12
1774355649,startup,imgA,0.01,54169436,1073741824,2670,1160,0,4100,12
1774355649,startup,imgB,0.00,47794094,1073741824,782,126,0,0,12
1774355652,startup,imgA,0.00,54169436,1073741824,2670,1160,0,4100,12
1774355652,startup,imgB,0.00,47794094,1073741824,782,126,0,0,12
1774355654,startup,imgA,0.00,54169436,1073741824,2670,1160,0,4100,12
1774355654,startup,imgB,0.00,47794094,1073741824,782,126,0,0,12
1774355657,startup,imgA,0.00,54169436,1073741824,2670,1160,0,4100,12
1774355657,startup,imgB,0.00,47794094,1073741824,852,126,0,0,12
1774355661,startup,imgA,3.92,54358180,1073741824,2810,1260,0,4100,12
1774355661,startup,imgB,4.59,48203039,1073741824,852,126,0,0,12
1774355663,startup,imgA,0.00,54358180,1073741824,2810,1260,0,4100,12
1774355663,startup,imgB,0.00,48203039,1073741824,852,126,0,0,12
1774355666,startup,imgA,0.00,54358180,1073741824,2810,1260,0,4100,12
1774355666,startup,imgB,0.00,48203039,1073741824,852,126,0,0,12
