epoch,phase,container,cpu_pct,mem_used_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes,pids
1774356552,startup,imgA,13.43,66616033,1073741824,642,126,0,20900000,12
1774356552,startup,imgB,100.19,47217377,1073741824,308,84,0,36900,12
1774356556,startup,imgA,0.71,66752348,1073741824,642,126,0,20900000,12
1774356556,startup,imgB,0.00,56927191,1073741824,600,126,0,61400,12
1774356559,startup,imgA,0.04,66752348,1073741824,712,126,0,20900000,12
1774356559,startup,imgB,0.00,56927191,1073741824,670,126,0,61400,12
1774356562,startup,imgA,7.12,58101596,1073741824,712,126,0,20900000,12
1774356562,startup,imgB,7.24,47636808,1073741824,670,126,0,61400,12
1774356564,startup,imgA,0.00,58101596,1073741824,712,126,0,20900000,12
1774356564,startup,imgB,0.00,47636808,1073741824,670,126,0,61400,12
1774356567,startup,imgA,0.00,58101596,1073741824,782,126,0,20900000,12
1774356567,startup,imgB,0.05,47636808,1073741824,740,126,0,61400,12
1774356570,startup,imgA,0.00,58101596,1073741824,782,126,0,20900000,12
1774356570,startup,imgB,0.00,47636808,1073741824,740,126,0,61400,12
1774356573,startup,imgA,0.00,58101596,1073741824,782,126,0,20900000,12
1774356573,startup,imgB,0.02,47636808,1073741824,740,126,0,61400,12
1774356576,startup,imgA,0.00,58101596,1073741824,782,126,0,20900000,12
1774356576,startup,imgB,0.00,47636808,1073741824,740,126,0,61400,12
1774356579,startup,imgA,0.00,58101596,1073741824,782,126,0,20900000,12
1774356579,startup,imgB,0.00,47636808,1073741824,740,126,0,61400,12
1774356582,startup,imgA,8.60,58300826,1073741824,782,126,0,20900000,12
1774356582,startup,imgB,8.76,48098181,1073741824,740,126,0,61400,12
1774356584,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356584,startup,imgB,0.00,48056238,1073741824,810,126,0,61400,12
1774356587,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356587,startup,imgB,0.00,48056238,1073741824,810,126,0,61400,12
1774356590,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356590,startup,imgB,0.00,48066724,1073741824,810,126,0,61400,12
1774356593,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356593,startup,imgB,0.00,48066724,1073741824,810,126,0,61400,12
1774356596,startup,imgA,0.02,58290340,1073741824,852,126,0,20900000,12
1774356596,startup,imgB,0.00,48066724,1073741824,810,126,0,61400,12
1774356600,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356600,startup,imgB,0.00,48066724,1073741824,810,126,0,61400,12
1774356603,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356603,startup,imgB,0.00,48066724,1073741824,810,126,0,61400,12
1774356606,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356606,startup,imgB,0.00,48066724,1073741824,810,126,0,61400,12
1774356609,startup,imgA,0.00,58290340,1073741824,852,126,0,20900000,12
1774356609,startup,imgB,0.00,48066724,1073741824,810,126,0,61400,12
1774356612,startup,imgA,3.52,58374226,1073741824,852,126,0,20900000,12
1774356612,startup,imgB,0.09,48423240,1073741824,810,126,0,61400,12
1774356615,startup,imgA,0.00,58374226,1073741824,852,126,0,20900000,12
1774356615,startup,imgB,0.00,48171581,1073741824,810,126,0,61400,12
1774356618,startup,imgA,0.00,58374226,1073741824,852,126,0,20900000,12
1774356618,startup,imgB,0.02,48171581,1073741824,880,126,0,61400,12
1774356621,startup,imgA,0.00,58374226,1073741824,922,126,0,20900000,12
1774356621,startup,imgB,0.00,48171581,1073741824,880,126,0,61400,12
1774356625,startup,imgA,0.00,58374226,1073741824,922,126,0,20900000,12
1774356625,startup,imgB,0.00,48171581,1073741824,880,126,0,61400,12
1774356628,startup,imgA,0.00,58374226,1073741824,922,126,0,20900000,12
1774356628,startup,imgB,0.00,48171581,1073741824,880,126,0,61400,12
1774356631,startup,imgA,0.00,58374226,1073741824,922,126,0,20900000,12
1774356631,startup,imgB,0.00,48171581,1073741824,880,126,0,61400,12
1774356634,startup,imgA,0.00,58374226,1073741824,922,126,0,20900000,12
1774356634,startup,imgB,0.00,48171581,1073741824,880,126,0,61400,12
1774356637,startup,imgA,0.00,58374226,1073741824,922,126,0,20900000,12
1774356637,startup,imgB,0.00,48171581,1073741824,880,126,0,61400,12
1774356640,startup,imgA,8.45,58500055,1073741824,922,126,0,20900000,12
1774356640,startup,imgB,0.00,48171581,1073741824,880,126,0,61400,12
1774356643,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356643,startup,imgB,0.04,48276439,1073741824,880,126,0,61400,12
1774356646,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356646,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356650,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356650,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356653,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356653,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356656,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356656,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356659,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356659,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356662,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356662,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356665,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356665,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356668,startup,imgA,0.00,58447626,1073741824,922,126,0,20900000,12
1774356668,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356672,startup,imgA,0.04,58510541,1073741824,922,126,0,20900000,12
1774356672,startup,imgB,0.00,48265953,1073741824,880,126,0,61400,12
1774356675,startup,imgA,0.00,58510541,1073741824,922,126,0,20900000,12
1774356675,startup,imgB,0.00,48360325,1073741824,880,126,0,61400,12
1774356678,startup,imgA,0.02,58510541,1073741824,922,126,0,20900000,12
1774356678,startup,imgB,0.02,48370811,1073741824,880,126,0,61400,12
1774356681,startup,imgA,0.00,58510541,1073741824,922,126,0,20900000,12
1774356681,startup,imgB,0.00,48370811,1073741824,880,126,0,61400,12
1774356684,startup,imgA,0.00,58510541,1073741824,922,126,0,20900000,12
1774356684,startup,imgB,0.00,48370811,1073741824,880,126,0,61400,12
1774356687,startup,imgA,0.02,58510541,1073741824,922,126,0,20900000,12
1774356687,startup,imgB,0.00,48370811,1073741824,950,126,0,61400,12
1774356690,startup,imgA,0.00,58510541,1073741824,992,126,0,20900000,12
1774356690,startup,imgB,0.00,48370811,1073741824,950,126,0,61400,12
1774356693,startup,imgA,0.00,58510541,1073741824,992,126,0,20900000,12
1774356693,startup,imgB,0.00,48370811,1073741824,950,126,0,61400,12
1774356697,startup,imgA,0.00,58510541,1073741824,992,126,0,20900000,12
1774356697,startup,imgB,0.00,48370811,1073741824,950,126,0,61400,12
1774356700,startup,imgA,0.00,58510541,1073741824,992,126,0,20900000,12
1774356700,startup,imgB,0.00,48370811,1073741824,950,126,0,61400,12
1774356703,startup,imgA,0.05,58699284,1073741824,992,126,0,20900000,12
1774356703,startup,imgB,8.47,48454697,1073741824,950,126,0,61400,12
1774356705,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356705,startup,imgB,0.00,48454697,1073741824,950,126,0,61400,12
1774356708,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356708,startup,imgB,0.01,48454697,1073741824,950,126,0,61400,12
1774356711,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356711,startup,imgB,0.00,48454697,1073741824,950,126,0,61400,12
1774356714,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356714,startup,imgB,0.00,48454697,1073741824,950,126,0,61400,12
1774356717,startup,imgA,0.02,58699284,1073741824,992,126,0,20900000,12
1774356717,startup,imgB,0.02,48454697,1073741824,950,126,0,61400,12
1774356721,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356721,startup,imgB,0.00,48454697,1073741824,950,126,0,61400,12
1774356724,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356724,startup,imgB,0.00,48454697,1073741824,950,126,0,61400,12
1774356727,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356727,startup,imgB,0.00,48454697,1073741824,950,126,0,61400,12
1774356730,startup,imgA,0.00,58699284,1073741824,992,126,0,20900000,12
1774356730,startup,imgB,0.00,48454697,1073741824,950,126,0,61400,12
1774356733,startup,imgA,0.03,58762199,1073741824,992,126,0,20900000,12
1774356733,startup,imgB,0.03,48517612,1073741824,950,126,0,61400,12
1774356735,idle,imgA,0.00,58762199,1073741824,992,126,0,20900000,12
1774356735,idle,imgB,0.00,48517612,1073741824,950,126,0,61400,12
1774356742,idle,imgA,0.00,58762199,1073741824,992,126,0,20900000,12
1774356742,idle,imgB,0.00,48517612,1073741824,950,126,0,61400,12
1774356750,idle,imgA,0.00,58762199,1073741824,992,126,0,20900000,12
1774356750,idle,imgB,0.00,48517612,1073741824,950,126,0,61400,12
1774356757,idle,imgA,0.00,58762199,1073741824,992,126,0,20900000,12
1774356757,idle,imgB,0.00,48517612,1073741824,950,126,0,61400,12
1774356764,idle,imgA,0.00,58867057,1073741824,992,126,0,20900000,12
1774356764,idle,imgB,0.03,48601498,1073741824,950,126,0,61400,12
1774356771,idle,imgA,0.00,58867057,1073741824,992,126,0,20900000,12
1774356771,idle,imgB,0.00,48601498,1073741824,950,126,0,61400,12
1774356778,idle,imgA,0.00,58867057,1073741824,992,126,0,20900000,12
1774356778,idle,imgB,0.02,48601498,1073741824,950,126,0,61400,12
1774356785,idle,imgA,0.00,58867057,1073741824,992,126,0,20900000,12
1774356785,idle,imgB,0.00,48601498,1073741824,950,126,0,61400,12
1774356792,idle,imgA,0.04,58929971,1073741824,992,126,0,20900000,12
1774356792,idle,imgB,8.23,48695869,1073741824,950,126,0,61400,12
1774356799,idle,imgA,0.00,58929971,1073741824,992,126,0,20900000,12
1774356799,idle,imgB,0.00,48674898,1073741824,950,126,0,61400,12
1774356807,idle,imgA,0.02,58929971,1073741824,992,126,0,20900000,12
1774356807,idle,imgB,0.00,48674898,1073741824,950,126,0,61400,12
1774356814,idle,imgA,0.00,58929971,1073741824,992,126,0,20900000,12
1774356814,idle,imgB,0.00,48674898,1073741824,950,126,0,61400,12
1774356821,idle,imgA,7.89,59024343,1073741824,992,126,0,20900000,12
1774356821,idle,imgB,0.00,48674898,1073741824,950,126,0,61400,12
1774356828,idle,imgA,0.02,59024343,1073741824,1060,126,0,20900000,12
1774356828,idle,imgB,0.01,48884613,1073741824,1020,126,0,61400,12
1774356835,idle,imgA,0.00,59024343,1073741824,1060,126,0,20900000,12
1774356835,idle,imgB,0.00,48884613,1073741824,1020,126,0,61400,12
1774356842,idle,imgA,0.00,59024343,1073741824,1060,126,0,20900000,12
1774356842,idle,imgB,0.00,48884613,1073741824,1020,126,0,61400,12
1774356849,idle,imgA,0.00,59024343,1073741824,1060,126,0,20900000,12
1774356849,idle,imgB,0.00,48884613,1073741824,1020,126,0,61400,12
1774356856,idle,imgA,0.00,59097743,1073741824,1060,126,0,20900000,12
1774356856,idle,imgB,0.00,48968499,1073741824,1020,126,0,61400,12
1774356864,idle,imgA,0.00,59097743,1073741824,1060,126,0,20900000,12
1774356864,idle,imgB,0.00,48968499,1073741824,1020,126,0,61400,12
1774356871,idle,imgA,0.00,59097743,1073741824,1060,126,0,20900000,12
1774356871,idle,imgB,0.00,48968499,1073741824,1020,126,0,61400,12
1774356878,idle,imgA,0.00,59097743,1073741824,1060,126,0,20900000,12
1774356878,idle,imgB,0.00,48968499,1073741824,1020,126,0,61400,12
1774356885,idle,imgA,0.00,59160658,1073741824,1060,126,0,20900000,12
1774356885,idle,imgB,0.00,49031414,1073741824,1020,126,0,61400,12
1774356892,idle,imgA,0.00,59160658,1073741824,1060,126,0,20900000,12
1774356892,idle,imgB,0.00,49031414,1073741824,1020,126,0,61400,12
1774356899,idle,imgA,0.00,59160658,1073741824,1060,126,0,20900000,12
1774356899,idle,imgB,0.00,49031414,1073741824,1020,126,0,61400,12
1774356906,idle,imgA,0.00,59160658,1073741824,1060,126,0,20900000,12
1774356906,idle,imgB,0.00,49031414,1073741824,1020,126,0,61400,12
1774356913,idle,imgA,0.00,59223572,1073741824,1060,126,0,20900000,12
1774356913,idle,imgB,8.96,49335501,1073741824,1020,126,0,61400,12
1774356921,idle,imgA,0.00,59223572,1073741824,1060,126,0,20900000,12
1774356921,idle,imgB,0.00,49335501,1073741824,1020,126,0,61400,12
1774356928,idle,imgA,0.00,59223572,1073741824,1060,126,0,20900000,12
1774356928,idle,imgB,0.00,49335501,1073741824,1020,126,0,61400,12
1774356935,idle,imgA,0.00,59223572,1073741824,1060,126,0,20900000,12
1774356935,idle,imgB,0.00,49335501,1073741824,1020,126,0,61400,12
1774356942,idle,imgA,0.00,59223572,1073741824,1060,126,0,20900000,12
1774356942,idle,imgB,8.45,49408901,1073741824,1020,126,0,61400,12
1774356949,idle,imgA,0.01,59496202,1073741824,1060,126,0,20900000,12
1774356949,idle,imgB,0.00,49408901,1073741824,1020,126,0,61400,12
1774356956,idle,imgA,0.00,59496202,1073741824,1060,126,0,20900000,12
1774356956,idle,imgB,0.00,49408901,1073741824,1020,126,0,61400,12
1774356963,idle,imgA,0.00,59496202,1073741824,1060,126,0,20900000,12
1774356963,idle,imgB,0.00,49408901,1073741824,1020,126,0,61400,12
1774356971,idle,imgA,0.00,59496202,1073741824,1060,126,0,20900000,12
1774356971,idle,imgB,0.00,49408901,1073741824,1020,126,0,61400,12
1774356978,idle,imgA,0.01,59548631,1073741824,1060,126,0,20900000,12
1774356978,idle,imgB,0.00,49471816,1073741824,1020,126,0,61400,12
1774356985,idle,imgA,0.00,59548631,1073741824,1060,126,0,20900000,12
1774356985,idle,imgB,0.00,49471816,1073741824,1020,126,0,61400,12
1774356992,idle,imgA,0.00,59548631,1073741824,1060,126,0,20900000,12
1774356992,idle,imgB,0.00,49471816,1073741824,1020,126,0,61400,12
1774356999,idle,imgA,0.00,59548631,1073741824,1060,126,0,20900000,12
1774356999,idle,imgB,0.00,49471816,1073741824,1020,126,0,61400,12
1774357006,idle,imgA,0.00,59611546,1073741824,1060,126,0,20900000,12
1774357006,idle,imgB,0.00,49534730,1073741824,1020,126,0,61400,12
1774357013,idle,imgA,0.00,59611546,1073741824,1060,126,0,20900000,12
1774357013,idle,imgB,0.00,49534730,1073741824,1020,126,0,61400,12
1774357020,idle,imgA,0.00,59611546,1073741824,1060,126,0,20900000,12
1774357020,idle,imgB,0.00,49534730,1073741824,1020,126,0,61400,12
1774357028,idle,imgA,0.00,59611546,1073741824,1060,126,0,20900000,12
1774357028,idle,imgB,0.00,49534730,1073741824,1020,126,0,61400,12
1774357035,idle,imgA,0.00,59674460,1073741824,1060,126,0,20900000,12
1774357035,idle,imgB,0.00,49597645,1073741824,1020,126,0,61400,12
1774357041,idle,imgA,0.00,59674460,1073741824,1060,126,0,20900000,12
1774357041,idle,imgB,0.00,49597645,1073741824,1020,126,0,61400,12
1774357048,idle,imgA,0.02,59674460,1073741824,1060,126,0,20900000,12
1774357048,idle,imgB,0.00,49597645,1073741824,1020,126,0,61400,12
1774357055,idle,imgA,0.00,59674460,1073741824,1060,126,0,20900000,12
1774357055,idle,imgB,0.00,49597645,1073741824,1020,126,0,61400,12
1774357061,idle,imgA,0.00,59674460,1073741824,1060,126,0,20900000,12
1774357061,idle,imgB,0.00,49597645,1073741824,1020,126,0,61400,12
1774357068,idle,imgA,0.01,59726889,1073741824,1060,126,0,20900000,12
1774357068,idle,imgB,0.00,49660559,1073741824,1020,126,0,61400,12
1774357075,idle,imgA,0.00,59726889,1073741824,1060,126,0,20900000,12
1774357075,idle,imgB,0.00,49660559,1073741824,1020,126,0,61400,12
1774357082,idle,imgA,0.00,59726889,1073741824,1060,126,0,20900000,12
1774357082,idle,imgB,0.00,49660559,1073741824,1020,126,0,61400,12
1774357089,idle,imgA,0.00,59726889,1073741824,1060,126,0,20900000,12
1774357089,idle,imgB,0.00,49660559,1073741824,1020,126,0,61400,12
1774357096,idle,imgA,0.00,59789804,1073741824,1060,126,0,20900000,12
1774357096,idle,imgB,0.00,49712988,1073741824,1020,126,0,61400,12
1774357103,idle,imgA,0.00,59789804,1073741824,1060,126,0,20900000,12
1774357103,idle,imgB,0.00,49712988,1073741824,1020,126,0,61400,12
1774357110,idle,imgA,0.00,59800289,1073741824,1060,126,0,20900000,12
